#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
N7: 2
ADDYAG_Agabus_biguttatus: 1
N10: 4
ADDYCO_Colymbetes_striatus: 2
ADDYCO_Rhantus_exsoletus: 2
N13: 1
ADDYAG_Agabus_ramblae: 1
ADDYDY_Eretes_sticticus: 2
ADDYDY_Cybister_japonicus: 9
ADDYDY_Cybister_tripunctatus: 3
N31: 1
N32: 7
ADDYHY_Stictotarsus_griseostriatus: 7
Total number of gain events: 42
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
N3: 1
N4: 3
N5: 1
N6: 1
N9: 4
ADDYAG_Platambus_sp: 17
ADDYCO_Colymbetes_paykulli: 2
N15: 1
N16: 2
N17: 1
ADDYAG_Ilybius_erichsoni: 2
ADDYAG_Ilybius_albarracinensis: 2
ADDYAG_Ilybius_chalconatus: 3
N18: 1
N19: 1
ADDYAG_Ilybius_vittiger: 3
ADDYAG_Ilybius_wasastjernae: 1
N21: 1
N22: 1
ADDYAG_Ilybius_subaeneus: 2
N23: 1
ADDYAG_Ilybius_quadriguttatus: 1
ADDYAG_Ilybius_guttiger: 1
ADDYAG_Ilybius_ater: 3
N24: 1
ADDYAG_Ilybius_aenescens: 3
ADDYAG_Ilybius_fuliginosus: 3
N25: 1
N26: 2
ADDYDY_Dytiscus_dauricus: 2
ADDYDY_Dytiscus_marginalis_M: 1
ADDYDY_Dytiscus_circumcinctus: 1
N28: 2
N29: 3
N30: 6
ADDYDY_Cybister_lateralimarginalis: 12
ADDYHY_Nebrioporus_lanceolatus_M: 5
ADDYHY_Hydroporus_sp: 12
ADDYHY_Hydrovatus_sp: 13
Total number of loss events: 123
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0	0	0	0
N3	0	1	0	0
N4	0	3	0	0
N5	0	1	0	0
N6	0	1	0	0
N7	2	0	0	0
ADDYAG_Agabus_biguttatus	1	0	0	0
N8	0	0	0	0
ADDYAG_Agabus_bipustulatus	0	0	0	0
ADDYAG_Agabus_conspersus	0	0	0	0
N9	0	4	0	0
ADDYAG_Platambus_sp	0	17	0	0
N10	4	0	0	0
N11	0	0	0	0
ADDYCO_Colymbetes_striatus	2	0	0	0
ADDYCO_Colymbetes_paykulli	0	2	0	0
ADDYCO_Rhantus_exsoletus	2	0	0	0
N12	0	0	0	0
N13	1	0	0	0
N14	0	0	0	0
ADDYAG_Agabus_confinis	0	0	0	0
ADDYAG_Agabus_sturmii	0	0	0	0
ADDYAG_Agabus_ramblae	1	0	0	0
N15	0	1	0	0
N16	0	2	0	0
N17	0	1	0	0
ADDYAG_Ilybius_erichsoni	0	2	0	0
ADDYAG_Ilybius_albarracinensis	0	2	0	0
ADDYAG_Ilybius_chalconatus	0	3	0	0
N18	0	1	0	0
N19	0	1	0	0
ADDYAG_Ilybius_vittiger	0	3	0	0
ADDYAG_Ilybius_wasastjernae	0	1	0	0
N20	0	0	0	0
N21	0	1	0	0
N22	0	1	0	0
ADDYAG_Ilybius_subaeneus	0	2	0	0
N23	0	1	0	0
ADDYAG_Ilybius_quadriguttatus	0	1	0	0
ADDYAG_Ilybius_guttiger	0	1	0	0
ADDYAG_Ilybius_ater	0	3	0	0
N24	0	1	0	0
ADDYAG_Ilybius_aenescens	0	3	0	0
ADDYAG_Ilybius_fuliginosus	0	3	0	0
N25	0	1	0	0
ADDYDY_Eretes_sticticus	2	0	0	0
N26	0	2	0	0
ADDYDY_Dytiscus_dauricus	0	2	0	0
N27	0	0	0	0
ADDYDY_Dytiscus_marginalis_M	0	1	0	0
ADDYDY_Dytiscus_circumcinctus	0	1	0	0
N28	0	2	0	0
ADDYDY_Cybister_sugillatus	0	0	0	0
N29	0	3	0	0
N30	0	6	0	0
ADDYDY_Cybister_lateralimarginalis	0	12	0	0
ADDYDY_Cybister_japonicus	9	0	0	0
ADDYDY_Cybister_tripunctatus	3	0	0	0
N31	1	0	0	0
