#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
N3: 1
POCUSC_Dendroctonus_jeffreyi: 9
POCUSC_Dendroctonus_ponderosae: 7
POCUSC_Dendroctonus_frontalis: 16
POCUSC_Dendroctonus_adjunctus: 4
N6: 1
POCUSC_Dendroctonus_approximatus: 5
POCUSC_Dendroctonus_brevicomis: 4
N8: 2
POCUSC_Dendroctonus_simplex: 9
POCUSC_Dendroctonus_pseudotsugae: 7
N10: 1
POCUSC_Dendroctonus_punctatus: 17
N11: 7
POCUSC_Dendroctonus_murrayanae: 7
N12: 9
POCUSC_Dendroctonus_valens: 1
POCUSC_Dendroctonus_terebrans: 12
Total number of gain events: 119
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
POCUSC_Dendroctonus_rufipennis: 2
Total number of loss events: 2
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0	0	0	0
N3	1	0	0	0
POCUSC_Dendroctonus_jeffreyi	9	0	0	0
POCUSC_Dendroctonus_ponderosae	7	0	0	0
N4	0	0	0	0
POCUSC_Dendroctonus_frontalis	16	0	0	0
N5	0	0	0	0
POCUSC_Dendroctonus_adjunctus	4	0	0	0
N6	1	0	0	0
POCUSC_Dendroctonus_approximatus	5	0	0	0
POCUSC_Dendroctonus_brevicomis	4	0	0	0
N7	0	0	0	0
N8	2	0	0	0
POCUSC_Dendroctonus_simplex	9	0	0	0
POCUSC_Dendroctonus_pseudotsugae	7	0	0	0
N9	0	0	0	0
N10	1	0	0	0
POCUSC_Dendroctonus_punctatus	17	0	0	0
N11	7	0	0	0
POCUSC_Dendroctonus_rufipennis	0	2	0	0
POCUSC_Dendroctonus_murrayanae	7	0	0	0
N12	9	0	0	0
POCUSC_Dendroctonus_valens	1	0	0	0
POCUSC_Dendroctonus_terebrans	12	0	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
POCUSC_Dendroctonus_jeffreyi	10	0	0	0
POCUSC_Dendroctonus_ponderosae	8	0	0	0
POCUSC_Dendroctonus_frontalis	16	0	0	0
POCUSC_Dendroctonus_adjunctus	4	0	0	0
POCUSC_Dendroctonus_approximatus	6	0	0	0
POCUSC_Dendroctonus_brevicomis	5	0	0	0
POCUSC_Dendroctonus_simplex	11	0	0	0
POCUSC_Dendroctonus_pseudotsugae	9	0	0	0
POCUSC_Dendroctonus_punctatus	18	0	0	0
POCUSC_Dendroctonus_rufipennis	8	2	0	0
POCUSC_Dendroctonus_murrayanae	15	0	0	0
POCUSC_Dendroctonus_valens	10	0	0	0
POCUSC_Dendroctonus_terebrans	21	0	0	0
