#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
ADCAHA_Pterostichus_nigrita: 1
Total number of gain events: 1
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
ADCAHA_Pterostichus_oblongopunctatus: 7
N3: 2
ADCAHA_Pterostichus_herculeanus: 5
ADCAHA_Pterostichus_angustus: 7
ADCAHA_Pterostichus_melanarius: 9
ADCAHA_Pterostichus_aterrimus: 9
N8: 6
ADCAHA_Pterostichus_anthracinus: 2
ADCAHA_Pterostichus_alacer: 10
N9: 2
N10: 7
ADCAHA_Pterostichus_spinolae: 1
ADCAHA_Pterostichus_globosus: 1
N13: 2
N14: 2
ADCAHA_Pterostichus_interruptus: 4
ADCAHA_Pterostichus_niger: 2
ADCAHA_Pterostichus_nemoralis: 5
Total number of loss events: 83
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
ADCAHA_Pterostichus_oblongopunctatus	0	7	0	0
N2	0	0	0	0
N3	0	2	0	0
ADCAHA_Pterostichus_herculeanus	0	5	0	0
ADCAHA_Pterostichus_angustus	0	7	0	0
N4	0	0	0	0
ADCAHA_Pterostichus_melanarius	0	9	0	0
N5	0	0	0	0
N6	0	0	0	0
N7	0	0	0	0
ADCAHA_Pterostichus_aterrimus	0	9	0	0
N8	0	6	0	0
ADCAHA_Pterostichus_nigrita	1	0	0	0
ADCAHA_Pterostichus_anthracinus	0	2	0	0
ADCAHA_Pterostichus_alacer	0	10	0	0
N9	0	2	0	0
N10	0	7	0	0
N11	0	0	0	0
ADCAHA_Pterostichus_spinolae	0	1	0	0
N12	0	0	0	0
ADCAHA_Pterostichus_flavofemoratus	0	0	0	0
ADCAHA_Pterostichus_globosus	0	1	0	0
ADCAHA_Pterostichus_ziegleri	0	0	0	0
N13	0	2	0	0
N14	0	2	0	0
ADCAHA_Pterostichus_interruptus	0	4	0	0
ADCAHA_Pterostichus_niger	0	2	0	0
ADCAHA_Pterostichus_nemoralis	0	5	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
ADCAHA_Pterostichus_oblongopunctatus	0	7	0	0
ADCAHA_Pterostichus_herculeanus	0	7	0	0
ADCAHA_Pterostichus_angustus	0	9	0	0
ADCAHA_Pterostichus_melanarius	0	9	0	0
ADCAHA_Pterostichus_aterrimus	0	9	0	0
ADCAHA_Pterostichus_nigrita	1	6	0	0
ADCAHA_Pterostichus_anthracinus	0	8	0	0
ADCAHA_Pterostichus_alacer	0	10	0	0
ADCAHA_Pterostichus_spinolae	0	10	0	0
ADCAHA_Pterostichus_flavofemoratus	0	9	0	0
ADCAHA_Pterostichus_globosus	0	10	0	0
ADCAHA_Pterostichus_ziegleri	0	9	0	0
ADCAHA_Pterostichus_interruptus	0	10	0	0
ADCAHA_Pterostichus_niger	0	8	0	0
ADCAHA_Pterostichus_nemoralis	0	9	0	0
