#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
POCUSC_Dendroctonus_jeffreyi: 4
POCUSC_Dendroctonus_ponderosae: 7
POCUSC_Dendroctonus_frontalis: 6
POCUSC_Dendroctonus_adjunctus: 16
POCUSC_Dendroctonus_approximatus: 7
POCUSC_Dendroctonus_brevicomis: 3
POCUSC_Dendroctonus_valens: 6
POCUSC_Dendroctonus_terebrans: 2
POCUSC_Dendroctonus_punctatus: 3
POCUSC_Dendroctonus_rufipennis: 4
POCUSC_Dendroctonus_murrayanae: 8
POCUSC_Dendroctonus_simplex: 13
POCUSC_Dendroctonus_pseudotsugae: 14
Total number of gain events: 93
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
Total number of loss events: 0
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0	0	0	0
N3	0	0	0	0
POCUSC_Dendroctonus_jeffreyi	4	0	0	0
POCUSC_Dendroctonus_ponderosae	7	0	0	0
N4	0	0	0	0
POCUSC_Dendroctonus_frontalis	6	0	0	0
N5	0	0	0	0
POCUSC_Dendroctonus_adjunctus	16	0	0	0
N6	0	0	0	0
POCUSC_Dendroctonus_approximatus	7	0	0	0
POCUSC_Dendroctonus_brevicomis	3	0	0	0
N7	0	0	0	0
N8	0	0	0	0
N9	0	0	0	0
POCUSC_Dendroctonus_valens	6	0	0	0
POCUSC_Dendroctonus_terebrans	2	0	0	0
N10	0	0	0	0
POCUSC_Dendroctonus_punctatus	3	0	0	0
N11	0	0	0	0
POCUSC_Dendroctonus_rufipennis	4	0	0	0
POCUSC_Dendroctonus_murrayanae	8	0	0	0
N12	0	0	0	0
POCUSC_Dendroctonus_simplex	13	0	0	0
POCUSC_Dendroctonus_pseudotsugae	14	0	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
POCUSC_Dendroctonus_jeffreyi	4	0	0	0
POCUSC_Dendroctonus_ponderosae	7	0	0	0
POCUSC_Dendroctonus_frontalis	6	0	0	0
POCUSC_Dendroctonus_adjunctus	16	0	0	0
POCUSC_Dendroctonus_approximatus	7	0	0	0
POCUSC_Dendroctonus_brevicomis	3	0	0	0
POCUSC_Dendroctonus_valens	6	0	0	0
POCUSC_Dendroctonus_terebrans	2	0	0	0
POCUSC_Dendroctonus_punctatus	3	0	0	0
POCUSC_Dendroctonus_rufipennis	4	0	0	0
POCUSC_Dendroctonus_murrayanae	8	0	0	0
POCUSC_Dendroctonus_simplex	13	0	0	0
POCUSC_Dendroctonus_pseudotsugae	14	0	0	0
