#cannot perform simulations: Expectations are based on heuristic computations rather than simulations
#Nodes with GAIN events with expectation above 0.5
POCUSC_Dendroctonus_jeffreyi: 4
POCUSC_Dendroctonus_ponderosae: 5
POCUSC_Dendroctonus_frontalis: 19
POCUSC_Dendroctonus_adjunctus: 4
N6: 5
POCUSC_Dendroctonus_approximatus: 14
POCUSC_Dendroctonus_valens: 12
POCUSC_Dendroctonus_terebrans: 15
POCUSC_Dendroctonus_punctatus: 5
N11: 6
POCUSC_Dendroctonus_rufipennis: 1
POCUSC_Dendroctonus_murrayanae: 3
POCUSC_Dendroctonus_simplex: 4
POCUSC_Dendroctonus_pseudotsugae: 6
Total number of gain events: 103
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
POCUSC_Dendroctonus_brevicomis: 2
Total number of loss events: 2
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 0
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
Total number of demi-dulications events: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
N2	0	0	0	0
N3	0	0	0	0
POCUSC_Dendroctonus_jeffreyi	4	0	0	0
POCUSC_Dendroctonus_ponderosae	5	0	0	0
N4	0	0	0	0
POCUSC_Dendroctonus_frontalis	19	0	0	0
N5	0	0	0	0
POCUSC_Dendroctonus_adjunctus	4	0	0	0
N6	5	0	0	0
POCUSC_Dendroctonus_approximatus	14	0	0	0
POCUSC_Dendroctonus_brevicomis	0	2	0	0
N7	0	0	0	0
N8	0	0	0	0
N9	0	0	0	0
POCUSC_Dendroctonus_valens	12	0	0	0
POCUSC_Dendroctonus_terebrans	15	0	0	0
N10	0	0	0	0
POCUSC_Dendroctonus_punctatus	5	0	0	0
N11	6	0	0	0
POCUSC_Dendroctonus_rufipennis	1	0	0	0
POCUSC_Dendroctonus_murrayanae	3	0	0	0
N12	0	0	0	0
POCUSC_Dendroctonus_simplex	4	0	0	0
POCUSC_Dendroctonus_pseudotsugae	6	0	0	0
#+++++++++++++++++++++++++++++

#Expected number of events from root to leaf
LEAF	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION
POCUSC_Dendroctonus_jeffreyi	4	0	0	0
POCUSC_Dendroctonus_ponderosae	5	0	0	0
POCUSC_Dendroctonus_frontalis	19	0	0	0
POCUSC_Dendroctonus_adjunctus	4	0	0	0
POCUSC_Dendroctonus_approximatus	19	0	0	0
POCUSC_Dendroctonus_brevicomis	5	2	0	0
POCUSC_Dendroctonus_valens	12	0	0	0
POCUSC_Dendroctonus_terebrans	15	0	0	0
POCUSC_Dendroctonus_punctatus	5	0	0	0
POCUSC_Dendroctonus_rufipennis	7	0	0	0
POCUSC_Dendroctonus_murrayanae	9	0	0	0
POCUSC_Dendroctonus_simplex	4	0	0	0
POCUSC_Dendroctonus_pseudotsugae	6	0	0	0
